symbol,coinbase_pair,start_date,end_date,days_covered,data_age_group,market_cap,market_cap_rank,market_cap_tier,categories,crypto_family,category_list,family_list,notes,consolidated_categories_list,consolidated_categories
APE,APE-USD,3/17/2022 16:00,7/30/2025 0:00,1231,Established,480133433,94,Small Cap,"NFT, Community",Ethereum,"['NFT', 'Community']",['Ethereum'],,"['NFTs & Digital Collectibles', 'Meme & Community Tokens']","NFTs & Digital Collectibles, Meme & Community Tokens"
1INCH,1INCH-USD,4/9/2021 16:00,7/30/2025 0:00,1573,Established,451294499,95,Small Cap,"DeFi, DEX Aggregator",Ethereum,"['DeFi', 'DEX Aggregator']",['Ethereum'],,['DeFi'],DeFi
STRK,STRK-USD,2/21/2024 19:00,7/30/2025 3:00,525,New,450496642,96,Small Cap,"DeFi, Lending",Ethereum,"['DeFi', 'Lending']",['Ethereum'],,['DeFi'],DeFi
W,W-USD,7/2/2025 16:00,7/30/2025 3:00,28,New,442177361,97,Small Cap,"Meme, Utility",Base,"['Meme', 'Utility']",['Base'],,['Meme & Community Tokens'],Meme & Community Tokens
AXS,AXS-USD,8/12/2021 19:00,7/30/2025 0:00,1448,Established,437363193,98,Small Cap,"Gaming, NFT","Ethereum, Ronin","['Gaming', 'NFT']","['Ethereum', 'Ronin']",,"['NFTs & Digital Collectibles', 'Gaming & Metaverse']","NFTs & Digital Collectibles, Gaming & Metaverse"
AIOZ,AIOZ-USD,3/8/2022 22:00,7/30/2025 0:00,1240,Established,434129360,99,Small Cap,"Streaming, CDN",Cosmos,"['Streaming', 'CDN']",['Cosmos'],,['Other / Specialized'],Other / Specialized
EGLD,EGLD-USD,12/7/2022 17:00,7/30/2025 1:00,966,Established,433406216,100,Small Cap,"Layer-1, Smart Contracts",Independent,"['Layer-1', 'Smart Contracts']",['Independent'],,['Layer 1 Blockchains'],Layer 1 Blockchains
KAVA,KAVA-USD,1/19/2023 17:00,7/30/2025 2:00,923,Established,424663046,101,Small Cap,"Layer-1, DeFi","Multi Chain, Cosmos, Ethereum","['Layer-1', 'DeFi']","['Multi Chain', 'Cosmos', 'Ethereum']",,"['Layer 1 Blockchains', 'DeFi']","Layer 1 Blockchains, DeFi"
CHZ,CHZ-USD,6/17/2021 16:00,7/30/2025 0:00,1504,Established,413874462,102,Small Cap,"Fan Engagement, Sports",Ethereum,"['Fan Engagement', 'Sports']",['Ethereum'],,"['Gaming & Metaverse', 'Meme & Community Tokens']","Gaming & Metaverse, Meme & Community Tokens"
ZK,ZK-USD,9/25/2024 16:00,7/30/2025 4:00,308,New,402995357,103,Small Cap,"Layer-2, Rollup",Ethereum,"['Layer-2', 'Rollup']",['Ethereum'],,['Layer 2 / Scaling'],Layer 2 / Scaling
EIGEN,EIGEN-USD,10/1/2024 16:00,7/30/2025 1:00,302,New,402718815,104,Small Cap,"Infrastructure, Restaking",Ethereum,"['Infrastructure', 'Restaking']",['Ethereum'],,"['DeFi', 'Infrastructure & Data']","DeFi, Infrastructure & Data"
EOS,EOS-USD,4/9/2019 16:00,7/30/2025 1:00,2304,Legacy,393857319,105,Small Cap,"Layer-1, dApps",Independent,"['Layer-1', 'dApps']",['Independent'],,['Layer 1 Blockchains'],Layer 1 Blockchains
SUPER,SUPER-USD,12/7/2021 17:00,7/30/2025 3:00,1331,Established,392479371,106,Small Cap,"DeFi, NFTs",Ethereum,"['DeFi', 'NFTs']",['Ethereum'],,"['DeFi', 'NFTs & Digital Collectibles']","DeFi, NFTs & Digital Collectibles"
CVX,CVX-USD,9/8/2022 16:00,7/30/2025 1:00,1056,Established,386668852,107,Small Cap,"DeFi, Yield",Ethereum,"['DeFi', 'Yield']",['Ethereum'],,['DeFi'],DeFi
RONIN,RONIN-USD,3/21/2024 16:00,7/30/2025 3:00,496,New,382286976,108,Small Cap,"Sidechain, Gaming","Ethereum, Ronin","['Sidechain', 'Gaming']","['Ethereum', 'Ronin']",,"['Layer 2 / Scaling', 'Gaming & Metaverse']","Layer 2 / Scaling, Gaming & Metaverse"
WAXL,WAXL-USD,10/25/2022 16:00,7/30/2025 3:00,1009,Established,378000000,109,Small Cap,"Interoperability, Bridge","Multi Chain, Ethereum, Axelar","['Interoperability', 'Bridge']","['Multi Chain', 'Ethereum', 'Axelar']",,['Layer 2 / Scaling'],Layer 2 / Scaling
AXL,AXL-USD,2/7/2023 17:00,7/30/2025 0:00,904,Established,367080428,110,Small Cap,"Interoperability, Cross-Chain",Cosmos,"['Interoperability', 'Cross-Chain']",['Cosmos'],,['Layer 2 / Scaling'],Layer 2 / Scaling
ATH,ATH-USD,3/13/2025 16:00,7/30/2025 0:00,139,New,366581552,111,Small Cap,"Cloud, AI/Computing","Ethereum, Arbitrum","['Cloud', 'AI/Computing']","['Ethereum', 'Arbitrum']",,['AI & Big Data'],AI & Big Data
GNO,GNO-USD,7/21/2022 17:00,7/30/2025 1:00,1105,Established,348566943,112,Small Cap,"DeFi, Infrastructure",Ethereum,"['DeFi', 'Infrastructure']",['Ethereum'],,"['DeFi', 'Infrastructure & Data']","DeFi, Infrastructure & Data"
AKT,AKT-USD,3/19/2024 16:00,7/30/2025 0:00,498,New,347986443,113,Small Cap,"Cloud, Marketplace", Cosmos,"['Cloud', 'Marketplace']",['Cosmos'],,['Other / Specialized'],Other / Specialized
AMP,AMP-USD,6/10/2021 16:00,7/30/2025 0:00,1511,Established,341103086,114,Small Cap,"Payments, Collateral",Ethereum,"['Payments', 'Collateral']",['Ethereum'],,"['DeFi', 'Payments & Commerce']","DeFi, Payments & Commerce"
